split,seed,fold,method,r2,rmse,time_s
random,0,0,Predict-train-mean,,,5.0067901611328125e-06
random,0,0,1-NN ECFP4,-0.48840481281836134,1.7678626405814861,0.021101951599121094
random,0,0,ECFP4-GBDT,0.4150844132782502,1.1082418860567214,0.6161551475524902
random,0,0,ECFP6-GBDT,0.3477577618271731,1.1702872137335236,0.6281571388244629
random,0,0,MACCS-GBDT,0.4376894954784306,1.0866159199838072,0.5325589179992676
random,0,0,ECFP4-RF,0.42627833530654624,1.0975861268877616,0.42155003547668457
random,0,0,ChemSMD+PCA+TabICL,0.5217229127411918,1.0021385333639234,1.7601127624511719
random,0,0,ChemSMD+EnsRP+TabICL,0.5296256933253815,0.993824696882399,8.580617904663086
random,0,1,Predict-train-mean,,,4.0531158447265625e-06
random,0,1,1-NN ECFP4,-0.5417083897143395,1.6929929836283275,0.004212379455566406
random,0,1,ECFP4-GBDT,0.4399652178712917,1.0203790756867592,0.6122369766235352
random,0,1,ECFP6-GBDT,0.326031451250819,1.1193704685309023,0.6102390289306641
random,0,1,MACCS-GBDT,0.4163559461260997,1.0416651089974518,0.526461124420166
random,0,1,ECFP4-RF,0.4315485974446086,1.028017999013135,0.4059271812438965
random,0,1,ChemSMD+PCA+TabICL,0.5098201109821994,0.9546227490931917,1.7439453601837158
random,0,1,ChemSMD+EnsRP+TabICL,0.5028411089282654,0.9613945657090454,8.632441997528076
random,0,2,Predict-train-mean,,,6.198883056640625e-06
random,0,2,1-NN ECFP4,-0.2945757293756208,1.772937452087606,0.004309892654418945
random,0,2,ECFP4-GBDT,0.5466567252126213,1.04916370784311,0.6082980632781982
random,0,2,ECFP6-GBDT,0.5198159892366367,1.079775666144027,0.6074211597442627
random,0,2,MACCS-GBDT,0.5768932773827669,1.013572085251783,0.5143048763275146
random,0,2,ECFP4-RF,0.5083204992628647,1.0926239805680982,0.4109203815460205
random,0,2,ChemSMD+PCA+TabICL,0.6092368283259804,0.9740617700548958,1.7257089614868164
random,0,2,ChemSMD+EnsRP+TabICL,0.6329526699266833,0.9440406566468047,8.672119855880737
random,0,3,Predict-train-mean,,,5.9604644775390625e-06
random,0,3,1-NN ECFP4,-0.14526347866568767,1.5691340185419957,0.005431652069091797
random,0,3,ECFP4-GBDT,0.5873616045732227,0.9418726039013068,0.6042559146881104
random,0,3,ECFP6-GBDT,0.5226204710181599,1.01306945893282,0.6014783382415771
random,0,3,MACCS-GBDT,0.4652733558961948,1.0721936922664494,0.5262172222137451
random,0,3,ECFP4-RF,0.49997560435615296,1.0368189725382344,0.4015800952911377
random,0,3,ChemSMD+PCA+TabICL,0.5579394491206304,0.9748734171933149,1.7373371124267578
random,0,3,ChemSMD+EnsRP+TabICL,0.5642797526892671,0.9678570107905852,8.714574098587036
random,0,4,Predict-train-mean,,,3.814697265625e-06
random,0,4,1-NN ECFP4,-0.32334883264402436,1.5712233601377708,0.004098176956176758
random,0,4,ECFP4-GBDT,0.38359352225382437,1.0723445564499325,0.6214091777801514
random,0,4,ECFP6-GBDT,0.32711208895067434,1.1203973714052013,0.6300380229949951
random,0,4,MACCS-GBDT,0.33933600651129736,1.1101740793384327,0.5421240329742432
random,0,4,ECFP4-RF,0.37352455560528475,1.081067402602126,0.417464017868042
random,0,4,ChemSMD+PCA+TabICL,0.3929127601686978,1.0642073881343415,1.7554781436920166
random,0,4,ChemSMD+EnsRP+TabICL,0.41424960810622413,1.0453387703324373,8.833591938018799
random,1,0,Predict-train-mean,,,5.9604644775390625e-06
random,1,0,1-NN ECFP4,-0.5024880517814181,1.6683932976834344,0.0046198368072509766
random,1,0,ECFP4-GBDT,0.40842401483201674,1.0468831417848918,0.6139411926269531
random,1,0,ECFP6-GBDT,0.43127034561689015,1.0264691593463056,0.5984499454498291
random,1,0,MACCS-GBDT,0.46703685621211144,0.9936684796946904,0.5163757801055908
random,1,0,ECFP4-RF,0.4303896324652944,1.027263545273861,0.41037988662719727
random,1,0,ChemSMD+PCA+TabICL,0.5148898226153016,0.9480104644535845,1.7328381538391113
random,1,0,ChemSMD+EnsRP+TabICL,0.5239409518206379,0.9391248926644763,8.636744022369385
random,1,1,Predict-train-mean,,,5.0067901611328125e-06
random,1,1,1-NN ECFP4,-0.3041271670751786,1.6296155377864048,0.00407099723815918
random,1,1,ECFP4-GBDT,0.4010672161487324,1.1043690310081047,0.6052391529083252
random,1,1,ECFP6-GBDT,0.35799346770440144,1.1433913768255646,0.6128809452056885
random,1,1,MACCS-GBDT,0.3427319120445894,1.1569017171634155,0.5076279640197754
random,1,1,ECFP4-RF,0.4205399242787624,1.0862678807659005,0.40793275833129883
random,1,1,ChemSMD+PCA+TabICL,0.45120969974763203,1.0571299211528038,1.7263989448547363
random,1,1,ChemSMD+EnsRP+TabICL,0.4959904665489776,1.013081932023181,8.669400930404663
random,1,2,Predict-train-mean,,,5.245208740234375e-06
random,1,2,1-NN ECFP4,-0.32906150884459273,1.5699852749565273,0.004565715789794922
random,1,2,ECFP4-GBDT,0.5299564861923988,0.9336671680647477,0.6449100971221924
random,1,2,ECFP6-GBDT,0.4885052608605489,0.973965632909392,0.6373441219329834
random,1,2,MACCS-GBDT,0.48076638619429624,0.9813060149222759,0.5175628662109375
random,1,2,ECFP4-RF,0.4470959001297524,1.0126233768304913,0.41141200065612793
random,1,2,ChemSMD+PCA+TabICL,0.5576862899778392,0.9057080851918957,1.7377657890319824
random,1,2,ChemSMD+EnsRP+TabICL,0.5474014752096283,0.916177438462252,8.650588989257812
random,1,3,Predict-train-mean,,,4.76837158203125e-06
random,1,3,1-NN ECFP4,-0.270640455395569,1.5802087906610693,0.004929065704345703
random,1,3,ECFP4-GBDT,0.5213624556829308,0.9698543714061856,0.615980863571167
random,1,3,ECFP6-GBDT,0.5112805402886073,0.9800155321661467,0.6208548545837402
random,1,3,MACCS-GBDT,0.4172589917269207,1.0701409084018534,0.508040189743042
random,1,3,ECFP4-RF,0.41559311346321803,1.071669357282589,0.40857505798339844
random,1,3,ChemSMD+PCA+TabICL,0.5112344116926748,0.9800618151709839,1.7677719593048096
random,1,3,ChemSMD+EnsRP+TabICL,0.4881251837459779,1.0029632651884335,8.706829071044922
random,1,4,Predict-train-mean,,,4.0531158447265625e-06
random,1,4,1-NN ECFP4,-0.010036363975799434,1.6633807294561576,0.003520965576171875
random,1,4,ECFP4-GBDT,0.5536517388961786,1.1057579821394021,0.6105601787567139
random,1,4,ECFP6-GBDT,0.5501764759510668,1.1100543453900076,0.6148169040679932
random,1,4,MACCS-GBDT,0.5363938517379732,1.1269321274412731,0.5345180034637451
random,1,4,ECFP4-RF,0.5193385127543156,1.1474738928690786,0.4072422981262207
random,1,4,ChemSMD+PCA+TabICL,0.6316992418354996,1.0044410557558443,1.7452642917633057
random,1,4,ChemSMD+EnsRP+TabICL,0.6185832257750171,1.0221698277344387,8.855384826660156
random,2,0,Predict-train-mean,,,4.0531158447265625e-06
random,2,0,1-NN ECFP4,-0.27112019562480194,1.6608346069274909,0.0036170482635498047
random,2,0,ECFP4-GBDT,0.4889225154104283,1.053116539714574,0.6137208938598633
random,2,0,ECFP6-GBDT,0.4514196567917015,1.0910714184036594,0.6128718852996826
random,2,0,MACCS-GBDT,0.4685770400443958,1.0738737349886276,0.5459818840026855
random,2,0,ECFP4-RF,0.49116183638948174,1.050806863638706,0.41399502754211426
random,2,0,ChemSMD+PCA+TabICL,0.5592849631377457,0.9779395198765811,1.7459020614624023
random,2,0,ChemSMD+EnsRP+TabICL,0.5464290045987708,0.992100569153284,8.75118899345398
random,2,1,Predict-train-mean,,,3.814697265625e-06
random,2,1,1-NN ECFP4,-0.7317982126079203,1.7832871549931875,0.0047359466552734375
random,2,1,ECFP4-GBDT,0.42775883273885185,1.0250904624841362,0.6270370483398438
random,2,1,ECFP6-GBDT,0.4226401760619267,1.0296649311006179,0.6120460033416748
random,2,1,MACCS-GBDT,0.47981180413250035,0.9773562752998266,0.5319287776947021
random,2,1,ECFP4-RF,0.4030016262130125,1.0470302339247133,0.41424107551574707
random,2,1,ChemSMD+PCA+TabICL,0.43159626255577344,1.0216476280799087,1.7581191062927246
random,2,1,ChemSMD+EnsRP+TabICL,0.4580489243538679,0.9975913962461991,8.750383138656616
random,2,2,Predict-train-mean,,,5.0067901611328125e-06
random,2,2,1-NN ECFP4,-0.5593222075753368,1.6330592502887376,0.0036089420318603516
random,2,2,ECFP4-GBDT,0.4372740271367642,0.981030519807883,0.6171841621398926
random,2,2,ECFP6-GBDT,0.3762830452077953,1.0328275001348435,0.6168370246887207
random,2,2,MACCS-GBDT,0.40076798114849677,1.0123519388895954,0.5274245738983154
random,2,2,ECFP4-RF,0.37287669687195657,1.0356440013475647,0.4096400737762451
random,2,2,ChemSMD+PCA+TabICL,0.5764505928090873,0.8511107059958645,1.7419331073760986
random,2,2,ChemSMD+EnsRP+TabICL,0.5587310982308642,0.8687317647323731,8.826069116592407
random,2,3,Predict-train-mean,,,5.0067901611328125e-06
random,2,3,1-NN ECFP4,-0.18625247587578286,1.6003602516396351,0.004414081573486328
random,2,3,ECFP4-GBDT,0.4862992574963614,1.0531355565840927,0.6156039237976074
random,2,3,ECFP6-GBDT,0.40733837103787673,1.131182214381564,0.6300439834594727
random,2,3,MACCS-GBDT,0.39887462497485304,1.139230842866233,0.5137820243835449
random,2,3,ECFP4-RF,0.4038749624954858,1.1344826484149393,0.4064462184906006
random,2,3,ChemSMD+PCA+TabICL,0.5044367864771919,1.0343766065510147,1.7595090866088867
random,2,3,ChemSMD+EnsRP+TabICL,0.5115156286049529,1.0269623255036404,8.85145878791809
random,2,4,Predict-train-mean,,,4.0531158447265625e-06
random,2,4,1-NN ECFP4,-0.07246597069604843,1.6566840268894252,0.0044820308685302734
random,2,4,ECFP4-GBDT,0.4999259954152243,1.131266835124321,0.6154201030731201
random,2,4,ECFP6-GBDT,0.452473615965583,1.1837240720203421,0.6146957874298096
random,2,4,MACCS-GBDT,0.5410340222034631,1.083772600811665,0.5383391380310059
random,2,4,ECFP4-RF,0.4410565057230711,1.1960019258883048,0.41329073905944824
random,2,4,ChemSMD+PCA+TabICL,0.5643348062707925,1.0559037718927973,1.7975332736968994
random,2,4,ChemSMD+EnsRP+TabICL,0.5631424837026019,1.0573477080327303,8.744030952453613
random,3,0,Predict-train-mean,,,4.0531158447265625e-06
random,3,0,1-NN ECFP4,-0.3415872490122773,1.7128438562600312,0.004673957824707031
random,3,0,ECFP4-GBDT,0.4952961199878907,1.0505739596085293,0.62005615234375
random,3,0,ECFP6-GBDT,0.44362173426651186,1.1030453920682006,0.6124279499053955
random,3,0,MACCS-GBDT,0.5111952815370638,1.033893952777215,0.5034568309783936
random,3,0,ECFP4-RF,0.444007333705038,1.1026630750184794,0.40653085708618164
random,3,0,ChemSMD+PCA+TabICL,0.5552169237262703,0.9862395898344498,1.755674123764038
random,3,0,ChemSMD+EnsRP+TabICL,0.5493495932743739,0.9927232152110894,8.808216094970703
random,3,1,Predict-train-mean,,,6.198883056640625e-06
random,3,1,1-NN ECFP4,-0.17358623983410149,1.5667002109561778,0.005559206008911133
random,3,1,ECFP4-GBDT,0.3601275225660767,1.156844836665659,0.6231441497802734
random,3,1,ECFP6-GBDT,0.38901642925564184,1.1304287263419355,0.6228640079498291
random,3,1,MACCS-GBDT,0.43894936159071496,1.0832518705892886,0.5518159866333008
random,3,1,ECFP4-RF,0.3733618554733722,1.1448189723796247,0.4147179126739502
random,3,1,ChemSMD+PCA+TabICL,0.4436546143433312,1.078699926140216,1.7918598651885986
random,3,1,ChemSMD+EnsRP+TabICL,0.4700449039125335,1.0528049763801035,8.821111917495728
random,3,2,Predict-train-mean,,,6.198883056640625e-06
random,3,2,1-NN ECFP4,-0.8388128080557573,1.8127891704476584,0.003298044204711914
random,3,2,ECFP4-GBDT,0.4871174766441686,0.957386962801939,0.6198897361755371
random,3,2,ECFP6-GBDT,0.4183934286921752,1.0195140617938698,0.6399760246276855
random,3,2,MACCS-GBDT,0.3428869372201885,1.083673876032516,0.5738339424133301
random,3,2,ECFP4-RF,0.37581762533731544,1.0561711672112981,0.41504597663879395
random,3,2,ChemSMD+PCA+TabICL,0.48811457124549584,0.9564559141369564,1.7660801410675049
random,3,2,ChemSMD+EnsRP+TabICL,0.5113056402194389,0.9345385507190976,8.674626111984253
random,3,3,Predict-train-mean,,,6.198883056640625e-06
random,3,3,1-NN ECFP4,-0.13057741602993445,1.7121250438212543,0.0047948360443115234
