benchmark,n_train,n_test,weight,pca_dim,model,overall_rmse,cliff_rmse,noncliff_rmse,time_s
CHEMBL1862_Ki,633,161,v3,96,TabICL-MLX,0.7033476371086544,0.7275607317059278,0.6855675023119252,1.0936779975891113
CHEMBL1862_Ki,633,161,v3,128,TabICL-MLX,0.7084201637977205,0.7385099753039932,0.6861681609002739,1.322314977645874
CHEMBL1862_Ki,633,161,v3,160,TabICL-MLX,0.7086135272680177,0.7490484240963566,0.678323209598768,1.6105220317840576
CHEMBL1862_Ki,633,161,v3,192,TabICL-MLX,0.706490156813812,0.7481868204628852,0.6752002401395569,1.9779980182647705
CHEMBL1862_Ki,633,161,v4,96,TabICL-MLX,0.7021529578221258,0.7106513820505119,0.696032205209268,1.0344769954681396
CHEMBL1862_Ki,633,161,v4,128,TabICL-MLX,0.7073895300090629,0.7126052494279694,0.7036483512360884,1.318403959274292
CHEMBL1862_Ki,633,161,v4,160,TabICL-MLX,0.7055038054787394,0.7398184460801179,0.6799893640640075,1.613459825515747
CHEMBL1862_Ki,633,161,v4,192,TabICL-MLX,0.6985741526415183,0.732582990091789,0.6732860208954494,1.9783287048339844
CHEMBL1862_Ki,633,161,v5,96,TabICL-MLX,0.7037826006098784,0.7209399074717631,0.6912935240496434,1.0327649116516113
CHEMBL1862_Ki,633,161,v5,128,TabICL-MLX,0.7034992493582749,0.7424866725868662,0.6743358744601525,1.3354709148406982
CHEMBL1862_Ki,633,161,v5,160,TabICL-MLX,0.6953465742698719,0.7389674151751299,0.662504320310505,1.6090140342712402
CHEMBL1862_Ki,633,161,v5,192,TabICL-MLX,0.6962841616935589,0.7458324274309791,0.6586967451078577,1.953902006149292
CHEMBL1862_Ki,633,161,v6,96,TabICL-MLX,0.7103725745948254,0.7226903134127695,0.7014609460883052,1.0258708000183105
CHEMBL1862_Ki,633,161,v6,128,TabICL-MLX,0.7181660311591269,0.7385850311662069,0.703250301640375,1.331132173538208
CHEMBL1862_Ki,633,161,v6,160,TabICL-MLX,0.697334051113902,0.7375598188160332,0.6671837103063798,1.6129608154296875
CHEMBL1862_Ki,633,161,v6,192,TabICL-MLX,0.6985595622066182,0.7445396494916992,0.6638454306870811,1.9877839088439941
CHEMBL1871_Ki,525,134,v3,96,TabICL-MLX,0.6215037066547836,0.8458070404839441,0.5319893404548819,0.9064030647277832
